DATAFLOW,LAST UPDATE,freq,unit,med_spec,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CZ,2020,7112,e
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DE,2011,75252.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DE,2012,75390.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DE,2013,78608.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DE,2014,80210.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DE,2015,78201.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DE,2016,79034.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DE,2017,80184.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DE,2018,81116.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DE,2019,83049.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DE,2020,85471.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DK,2011,4422.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DK,2012,4481.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DK,2013,4459.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DK,2014,4499.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DK,2015,4575.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DK,2016,4585.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DK,2017,4617.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DK,2018,4649.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DK,2019,4641.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EE,2011,1001.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EE,2012,959.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EE,2013,1052,b
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EE,2014,1057.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EE,2015,1052.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EE,2016,1061.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EE,2017,1059.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EE,2018,1097.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EE,2019,1102.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EE,2020,1084.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EL,2011,3369.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EL,2012,3456.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EL,2013,3494.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EL,2014,4307,b
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EL,2015,4396.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EL,2016,4521.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EL,2017,4651.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EL,2018,4390.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EL,2019,4732.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,ES,2011,34722.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,ES,2012,35061.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,ES,2013,35017.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,ES,2014,34880.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,ES,2015,34735.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,ES,2016,34797.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,ES,2017,35378.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,ES,2018,41727,b
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,ES,2019,43131.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,ES,2020,43302.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,FI,2011,8450,d
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,FI,2012,8435,d
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,FI,2013,7348,b
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,FI,2014,7579.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,FI,2015,7343.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,FI,2016,7326.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,FI,2017,7313.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,FI,2018,7458.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,FR,2011,92684,b
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,FR,2012,92875.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,FR,2013,93539.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,FR,2014,93783.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,FR,2015,93780.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,FR,2016,93847.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,FR,2017,94384.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,FR,2018,94146.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,FR,2019,94442.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,FR,2020,94009.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,HR,2011,3299.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,HR,2012,3371.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,HR,2013,3335.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,HR,2014,3502.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,HR,2015,3248.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,HR,2016,3406.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,HR,2017,3321.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,HR,2018,3507.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,HR,2019,3389.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,HR,2020,3121.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,HU,2017,6855.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,HU,2018,7096.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,HU,2019,7302.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,HU,2020,6438,b
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IE,2011,11366,b
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IE,2012,11288.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IE,2013,10781.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IE,2014,8214,b
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IE,2015,8610.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IE,2016,8514.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IE,2017,8763.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IE,2018,8965.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IE,2019,9039.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IE,2020,9360.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IS,2011,185.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IS,2012,184.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IS,2013,188.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IS,2014,188.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IS,2015,191.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IS,2016,213,b
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IS,2017,209.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IS,2018,218.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IS,2019,215.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IT,2011,53856,e
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IT,2012,53994.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IT,2013,53525.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IT,2014,53463.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IT,2015,53610.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IT,2016,54063.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IT,2017,53691.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IT,2018,52998.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IT,2019,52555.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,IT,2020,50354.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LI,2011,37.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LI,2012,37.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LI,2013,37.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LI,2014,34.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LI,2015,35.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LI,2016,37.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LI,2017,46.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LI,2018,44.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LI,2019,48.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LI,2020,50.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LT,2011,2679,b
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LT,2012,2697.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LT,2013,2709.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LT,2014,2769.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LT,2015,2819.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LT,2016,2873.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LT,2017,2971.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LT,2018,2884.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LT,2019,2883.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LT,2020,2728.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LU,2011,424.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LU,2012,441.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LU,2013,467.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LU,2014,489.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LU,2015,498.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LU,2016,505.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LU,2017,534.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LV,2011,1328.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LV,2012,1338.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LV,2013,1357.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LV,2014,1394.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LV,2015,1379.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LV,2016,1412.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LV,2017,1414.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LV,2018,1411.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LV,2019,1369.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,LV,2020,1416.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,ME,2011,190.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,ME,2012,204.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,ME,2013,241.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,ME,2014,245.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,ME,2015,273.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,ME,2016,284.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,ME,2017,303.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,ME,2018,336.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,ME,2019,310.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,ME,2020,316.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,MK,2011,1933.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,MK,2012,2063.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,MK,2013,2017.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,MK,2014,2112.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,MK,2015,1967.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,MK,2016,2070.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,MK,2017,2032.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,MK,2018,2155.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,MK,2019,2116.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,MK,2020,1902.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,MT,2011,315.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,MT,2012,335.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,MT,2013,340.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,MT,2014,346.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,MT,2015,349.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,MT,2016,360.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,MT,2017,379.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,MT,2018,396.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,MT,2019,415.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,MT,2020,415.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,NL,2011,23301.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,NL,2012,24135.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,NL,2013,24498.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,NL,2014,25611,b
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,NL,2015,26490.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,NL,2016,27060.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,NL,2017,27730.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,NL,2018,28729.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,NL,2019,30107.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,NL,2020,31037.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,NO,2011,4140.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,NO,2012,4317.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,NO,2013,4437.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,NO,2014,4595.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,NO,2015,4592,b
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,NO,2016,4702.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,NO,2017,4881.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,NO,2018,4976.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,NO,2019,5162.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,NO,2020,5310.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,PL,2011,14525.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,PL,2012,12645.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,PL,2013,12846.00,
